id,created_at,updated_at,first_name,last_name,rating,favorite_movie_id
1,NULL,NULL,Sam,Worthington,7.5,1
2,NULL,NULL,Zoe,Saldana,5.5,2
3,NULL,NULL,Sigourney,Weaver,9.7,NULL
4,NULL,NULL,Leonardo,"Di Caprio",3.5,4
5,NULL,NULL,Kate,Winslet,1.5,5
6,NULL,NULL,Billy,Zane,7.5,6
7,NULL,NULL,Mark,Hamill,6.5,7
8,NULL,NULL,Harrison,Ford,7.5,8
9,NULL,NULL,Carrie,Fisher,7.5,9
10,NULL,NULL,Sam,Neill,2.5,10
11,NULL,NULL,Laura,Dern,7.5,11
12,NULL,NULL,Jeff,Goldblum,4.5,NULL
13,NULL,NULL,Daniel,Radcliffe,7.5,13
14,NULL,NULL,Emma,Watson,2.5,14
15,NULL,NULL,Rupert,Grint,6.2,15
16,NULL,NULL,Shia,LaBeouf,9.5,16
17,NULL,NULL,Rosie,Huntington-Whiteley,1.5,17
18,NULL,NULL,Matthew,Broderick,6.1,18
19,NULL,NULL,James,"Earl Jones",7.5,19
20,NULL,NULL,Jeremy,Irons,7.2,20
21,NULL,NULL,Johnny,Depp,1.5,21
22,NULL,NULL,Helena,"Bonham Carter",7.5,1
23,NULL,NULL,Mia,Wasikowska,7.5,2
24,NULL,NULL,Albert,Brooks,2.5,3
25,NULL,NULL,Ellen,DeGeneres,2.6,4
26,NULL,NULL,Alexander,Gould,7.5,5
27,NULL,NULL,Tom,Hanks,4.4,6
28,NULL,NULL,Tim,Allen,7.5,7
29,NULL,NULL,Sean,Penn,9.2,8
30,NULL,NULL,Adam,Sandler,3.1,9
31,NULL,NULL,Renee,Zellweger,9.5,10
32,NULL,NULL,Emilia,Clarke,8.2,11
33,NULL,NULL,Peter,Dinklage,2.3,12
34,NULL,NULL,Kit,Harington,2.4,NULL
35,NULL,NULL,Jared,Padalecki,2.8,14
36,NULL,NULL,Jensen,Ackles,5.5,15
37,NULL,NULL,Jim,Beaver,2.6,16
38,NULL,NULL,Andrew,Lincoln,3.3,17
39,NULL,NULL,Jon,Bernthal,2.9,NULL
40,NULL,NULL,Sarah,Callies,2.4,19
41,NULL,NULL,Jim,Caviezel,1.9,20
42,NULL,NULL,Taraji,Henson,5.9,21
43,NULL,NULL,Kevin,Chapman,2.9,1
44,NULL,NULL,Johnny,Galecki,2.3,2
45,NULL,NULL,Jim,Parsons,6.9,3
46,NULL,NULL,Kaley,Cuoco,2.3,4
47,NULL,NULL,Bryan,Cranston,7.9,NULL
48,NULL,NULL,Aaron,Paul,5.9,6
49,NULL,NULL,Anna,Gunn,3.1,7
